# Source: https://results.enr.clarityelections.com/NJ/Mercer/92451/Web02.221448/#/cid/8


County	Registered Voters	Total	Dem	Rep	Dem %	Rep %	Margin	Turnout
Ewing Twp 1	658	340	237	103	69.71	30.29	39.41	51.67
Ewing Twp 2	692	336	260	75	77.38	22.32	55.06	48.55
Ewing Twp 3	760	356	295	61	82.87	17.13	65.73	46.84
Ewing Twp 4	1222	552	406	146	73.55	26.45	47.10	45.17
Ewing Twp 5	864	396	340	56	85.86	14.14	71.72	45.83
Ewing Twp 6	920	390	300	90	76.92	23.08	53.85	42.39
Ewing Twp 7	629	287	211	76	73.52	26.48	47.04	45.63
Ewing Twp 8	842	411	286	125	69.59	30.41	39.17	48.81
Ewing Twp 9	831	361	324	37	89.75	10.25	79.50	43.44
Ewing Twp 10	951	380	349	30	91.84	7.89	83.95	39.96
Ewing Twp 11	1106	516	378	138	73.26	26.74	46.51	46.65
Ewing Twp 12	752	386	298	88	77.20	22.80	54.40	51.33
Ewing Twp 13	486	241	218	23	90.46	9.54	80.91	49.59
Ewing Twp 14	593	290	191	99	65.86	34.14	31.72	48.90
Ewing Twp 15	1031	493	410	83	83.16	16.84	66.33	47.82
Ewing Twp 16	611	308	214	94	69.48	30.52	38.96	50.41
Ewing Twp 17	932	378	292	85	77.25	22.49	54.76	40.56
Ewing Twp 18	1076	423	298	125	70.45	29.55	40.90	39.31
Ewing Twp 19	1520	920	625	295	67.93	32.07	35.87	60.53
Ewing Twp 20	493	232	142	90	61.21	38.79	22.41	47.06
Ewing Twp 21	1261	596	402	192	67.45	32.21	35.23	47.26
Ewing Twp 22	622	284	215	69	75.70	24.30	51.41	45.66
Ewing Twp 23	675	288	217	71	75.35	24.65	50.69	42.67
Ewing Twp 24	1453	493	400	93	81.14	18.86	62.27	33.93
Ewing Twp 25	911	389	362	27	93.06	6.94	86.12	42.70
Ewing Twp 26	983	441	373	68	84.58	15.42	69.16	44.86
Ewing Twp 27	1172	485	393	92	81.03	18.97	62.06	41.38
Ewing Twp 28	634	317	281	36	88.64	11.36	77.29	50.00
Ewing Civilian Mail-In Ballot	0	1386	1102	279	79.51	20.13	59.38	0.00
Ewing Provisional	0	183	150	33	81.97	18.03	63.93	0.00
