# Source: https://results.enr.clarityelections.com/NJ/Mercer/116247/web.307039/#/detail/4

County	Registered Voters	Total	Dem	Rep	Dem %	Rep %	Margin	Turnout
Ewing Twp 1                   623                           337                           54.09%	623	331	221	110	66.77	33.23	33.53	53.13
Ewing Twp 2                   698                           262                           37.54%	698	255	180	75	70.59	29.41	41.18	36.53
Ewing Twp 3                   702                           268                           38.18%	702	259	200	59	77.22	22.78	54.44	36.89
Ewing Twp 4                   1157                          473                           40.88%	1157	468	316	152	67.52	32.48	35.04	40.45
Ewing Twp 5                   824                           298                           36.17%	824	285	253	32	88.77	11.23	77.54	34.59
Ewing Twp 6                   937                           323                           34.47%	937	314	254	60	80.89	19.11	61.78	33.51
Ewing Twp 7                   720                           300                           41.67%	720	292	213	79	72.95	27.05	45.89	40.56
Ewing Twp 8                   812                           438                           53.94%	812	429	243	186	56.64	43.36	13.29	52.83
Ewing Twp 9                   859                           289                           33.64%	859	282	226	56	80.14	19.86	60.28	32.83
Ewing Twp 10                  978                           274                           28.02%	978	268	234	34	87.31	12.69	74.63	27.40
Ewing Twp 11                  1010                          503                           49.80%	1010	496	329	167	66.33	33.67	32.66	49.11
Ewing Twp 12                  763                           362                           47.44%	763	356	254	102	71.35	28.65	42.70	46.66
Ewing Twp 13                  531                           182                           34.27%	531	177	155	22	87.57	12.43	75.14	33.33
Ewing Twp 14                  583                           322                           55.23%	583	316	209	107	66.14	33.86	32.28	54.20
Ewing Twp 15                  1007                          446                           44.29%	1007	434	328	106	75.58	24.42	51.15	43.10
Ewing Twp 16                  628                           289                           46.02%	628	286	181	105	63.29	36.71	26.57	45.54
Ewing Twp 17                  863                           322                           37.31%	863	315	210	105	66.67	33.33	33.33	36.50
Ewing Twp 18                  1263                          542                           42.91%	1263	531	378	153	71.19	28.81	42.37	42.04
Ewing Twp 19                  1582                          803                           50.76%	1582	786	448	338	57.00	43.00	13.99	49.68
Ewing Twp 20                  502                           220                           43.82%	502	216	126	90	58.33	41.67	16.67	43.03
Ewing Twp 21	1132	590	356	228	60.34	38.64	21.69	52.12
Ewing Twp 22	495	255	160	88	62.75	34.51	28.24	51.52
Ewing Twp 23	659	242	172	60	71.07	24.79	46.28	36.72
Ewing Twp 24	1657	711	490	208	68.92	29.25	39.66	42.91
Ewing Twp 25	880	304	256	42	84.21	13.82	70.39	34.55
Ewing Twp 26	835	405	297	101	73.33	24.94	48.40	48.50
Ewing Twp 27	1112	446	338	98	75.78	21.97	53.81	40.11
Ewing Twp 28	600	275	229	36	83.27	13.09	70.18	45.83
Ewing PROVISIONAL	0	410	317	83	77.32	20.24	57.07	0.00
